mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.577961524327596,0.49222176632471404,0.13194537162780762,0.007921326629971378,0.9,10,0.1,300,3,0.03,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.5404094476885307,0.5305298178010678,0.5327447140801835,0.5345613265232606,0.004232952653847333,28
1.9650986194610596,0.016082088108925308,0.1354235808054606,0.0014823778685161494,1.0,2,0.5,300,6,0.05,1.0,1.0,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 1.0}",0.544549625122718,0.530842761169725,0.5321405698429332,0.5358443187117921,0.006178341018922189,27
7.423965374628703,0.31257973723980176,0.6540304819742838,0.11147566585280608,0.7,5,0.01,500,6,0.05,0.3,1.0,"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.5424198095182574,0.5327338112783865,0.543597525324019,0.5395837153735542,0.004867418426950956,12
1.9272302786509197,0.6175097013668743,0.11213135719299316,0.02123504928433336,0.9,5,1.0,300,2,0.1,0.5,0.9,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.5397106731296213,0.5354403661451012,0.5405178311524116,0.538556290142378,0.0022277960388454206,20
3.511928081512451,0.13581298179363047,0.3261970678965251,0.049229131227235254,1.0,10,0.5,300,6,0.1,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.5402175366885321,0.5275452071417237,0.5420446741229371,0.5366024726510643,0.006447746463226214,26
3.3624592622121177,0.6346786348120673,0.2911989688873291,0.03573120019963247,0.7,3,0.5,300,4,0.08,1.0,0.9,"{'subsample': 0.7, 'reg_lambda': 3, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.08, 'gamma': 1, 'colsample_bytree': 0.9}",0.5395179840166525,0.5369869316103401,0.5382799750288354,0.5382616302186093,0.0010333792365895813,22
3.7560226122538247,0.08585117605727947,0.2900395393371582,0.003784691414654824,0.9,2,1.0,500,4,0.03,0.3,0.8,"{'subsample': 0.9, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.5417728593461252,0.5404557428034348,0.5441494783543006,0.5421260268346202,0.001528499489942108,2
4.473171154658,0.42610532389442146,0.4161270459493001,0.10322749747846431,0.8,10,0.01,500,4,0.03,0.5,1.0,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.5433665067057155,0.5364965968187282,0.54268666617115,0.5408499232318645,0.0030907532989648072,7
2.7073463598887124,0.5070450868367197,0.1851032574971517,0.06482349703310206,0.9,10,1.0,300,3,0.08,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5394711231027204,0.5377695079286754,0.5412918880134799,0.5395108396816252,0.001438279856967307,13
2.313530127207438,0.0031195554879449717,0.1628750960032145,0.017043691701692346,1.0,2,0.01,500,2,0.01,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.5247550188021903,0.5221128765908957,0.5283351843356586,0.5250676932429149,0.002549849982129154,30
