model,train_accuracy,test_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,overfit_gap
Random Forest Baseline,0.999679418679205,0.6407351998290233,0.5415867036621996,0.525053078987847,0.5130875763657761,0.5996276733732563,0.3589442188501817
XGBoost Baseline,0.6756785637956828,0.6599700790767258,0.5753545131771829,0.5380348020378198,0.5039324429076726,0.5962480789361236,0.015708484718957028
